Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module
incumbent,0.31,0.00,0.49999999999999994,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,0.49999999999999994,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
