Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IBUT_module,ETH_module
incumbent,0.32,0.00,0.60000000002046383,"['FEM7', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,0.60000000002046383,"['FEM7', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
