Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,PRO_module,ETH_module,ETHBUT_module,PROBUT_module,IPROBUT_module,IBUTBUT_module,IPRO_module
incumbent,11.31,0.01,107.32504145302673,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['FEM5'],['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['TRA1']
p2,,,107.32504145302673,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['FEM5'],['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['TRA1']
