Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IPRO_module,BUTBUT_module,ETHBUT_module,IBUT_module,IBUTBUT_module,BUT_module,ETH_module
incumbent,500.03,34.45,7.2644366831472151,"['TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6']",['TRA6'],"['TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']"
p2,,,7.2644366831472151,"['TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6']",['TRA6'],"['TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']"
