Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,PROBUT_module,ETHBUT_module,ETH_module,IBUTBUT_module,PRO_module,IBUT_module,IPRO_module
incumbent,3.72,0.00,107.32504145305597,"['FEM2', 'GG11', 'GLB2', 'OPM3', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['TRA1'],['PPP3'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['TRA1']
p2,,,107.32504145305597,"['FEM2', 'GG11', 'GLB2', 'OPM3', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['TRA1'],['PPP3'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['TRA1']
