Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,IPROBUT_module,ETHBUT_module,IBUTBUT_module,PRO_module,IPRO_module,PROBUT_module
incumbent,3.23,0.01,107.32504145333118,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],['PPP3']
p2,,,107.32504145333118,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],['PPP3']
