Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IPRO_module,ETH_module,PRO_module,PROBUT_module,IBUT_module,ETHBUT_module,IPROBUT_module
incumbent,22.28,0.01,8.2828246836208876,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['PPP1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1']
p2,,,8.2828246836208876,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['PPP1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1']
