Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUT_module,ETHBUT_module,IBUTBUT_module
incumbent,1.21,0.00,4.1026974485313854,"['ANA3', 'FEM3', 'GG11', 'GG12', 'PPP3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,4.1026974485313854,"['ANA3', 'FEM3', 'GG11', 'GG12', 'PPP3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
