Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUT_module,PRO_module,ETH_module,PROBUT_module,IPRO_module,BUT_module,BUTBUT_module,IBUTBUT_module,ETHBUT_module
p58,,,108.36924579570143,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']","['FEM2', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['FEM2', 'TRA6', 'FEM5']"
p59,,,108.36924579570143,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']","['FEM2', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p60,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p61,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p62,,,108.36384351748829,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p63,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p64,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p65,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p66,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p67,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p68,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p69,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p70,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p71,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p72,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p73,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p74,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p75,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p76,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p77,,,108.36384351748784,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p78,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p79,,,108.36384351748784,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']",['TRA6'],"['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p80,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p81,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p82,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p83,,,108.36924579570143,"['FEM2', 'GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP1']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p84,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p85,,,108.36384351748784,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']","['FEM2', 'TRA6']","['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'TRA6', 'FEM5']"
p86,,,108.36384351748784,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']","['FEM2', 'TRA6']","['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p87,,,108.36384351748784,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']","['FEM2', 'TRA6']","['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p88,,,108.36924579570145,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']","['FEM2', 'TRA6']","['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p89,,,108.36384351748818,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'TRA6', 'FEM5']"
p90,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p91,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']","['OPM4r', 'TRA6']","['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p92,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'TRA6', 'FEM5']"
p93,,,108.36384351748818,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['FEM2', 'TRA6', 'FEM5']"
