id,eqn,stdev,etoh_pdc,ppoh,btoh,ibutoh,ptoh,btd,pyr,lac__D,ac,adpac,etylace,ppylace,ibutylace,etylbte,ppylbte,btylbte,ibutylbte,etylpte,ibutylpte,ptylpte
PGL,h2o_c + 6pgl_c  -> h_c + 6pgc_c ,0.17033025265407,0.0716939721129507,0.374935215018659,0.0716939856659822,0.00252038551745913,0.320039305401063,0.170387245567985,0.0321379480471577,0.132921964779715,4.86161477309801e-30,0.434706196942429,0.085301692462508,0.479145728779435,0.210808296172026,0.0556398260735113,0.314631547083357,0.0599439828392049,0.538948624580982,0.314631756528665,0.259175787443155,0.0284486727935216
G6PDH2r,nadp_c + g6p_c  <=> h_c + 6pgl_c + nadph_c ,0.17033025265407,0.0716939721129507,0.374935215018659,0.0716939856659822,0.00252038551745913,0.320039305401063,0.170387245567985,0.0321379480471577,0.132921964779715,4.86161477309801e-30,0.434706196942429,0.085301692462508,0.479145728779435,0.210808296172026,0.0556398260735113,0.314631547083357,0.0599439828392049,0.538948624580982,0.314631756528665,0.259175787443155,0.0284486727935216
PGI,g6p_c  <=> f6p_c ,0.168558489254684,0.928306027781382,0.625064784740199,0.9283060142709,0.997479613556697,0.679960694598937,0.829612754360455,0.929153836955054,0.867078035186333,1,0.56529380303437,0.914698307510855,0.520854271198627,0.789191703742375,0.944360173905985,0.685368452916643,0.94005601711334,0.461051375408999,0.685368243467168,0.740824212452301,0.97155132718954
EDA,2ddg6p_c  -> g3p_c + pyr_c ,0.152201382135196,4.62292691573218e-11,6.03101031737845e-10,2.40637348715447e-11,2.18396736808347e-09,9.25541901860304e-30,2.70268259958078e-11,8.55776371121402e-12,0.129195492781781,3.95256569936544e-30,2.01855232843324e-12,0.0829102565467669,0.446586320893419,2.45078072805714e-10,1.59182894752355e-10,5.06187054283184e-30,5.10205060887105e-11,0.537261870581842,1.58757602731617e-12,3.97435718669976e-11,6.340069999284e-12
EDD,6pgc_c  -> h2o_c + 2ddg6p_c ,0.152201382135196,4.62292691573218e-11,6.03101031737845e-10,2.40637348715447e-11,2.18396736808347e-09,9.25541901860304e-30,2.70268259958078e-11,8.55776371121402e-12,0.129195492781781,3.95256569936544e-30,2.01855232843324e-12,0.0829102565467669,0.446586320893419,2.45078072805714e-10,1.59182894752355e-10,5.06187054283184e-30,5.10205060887105e-11,0.537261870581842,1.58757602731617e-12,3.97435718669976e-11,6.340069999284e-12
DHAPT,pep_c + dha_c  -> dhap_c + pyr_c ,0.147895979119548,0.40507010353597,0.164188052618054,0.405070101956136,0.422747795110402,0.266444864660249,0.216560788873193,8.42552038407761e-12,0.362382704732915,0.418287825559933,4.09614046320027e-12,0.387396536384127,1.32224837042049e-11,0.108157328353009,0.411241759128052,0.279006392339381,0.409617819713454,0.193662641409441,0.279005899870922,0.337723275581075,0.319986594830521
F6PA,f6p_c  <=> g3p_c + dha_c ,0.147895979105729,0.405070103495483,0.164188052567403,0.405070101928437,0.422747794887018,0.266444864660249,0.216560788845034,4.69642400745271e-12,0.362382704725821,0.418287825559933,2.29165001547379e-12,0.387396536378212,1.0588896670404e-11,0.108157328336177,0.411241759123393,0.279006392339381,0.409617819701009,0.193662641407332,0.279005899869198,0.337723275536485,0.31998659482349
GND,6pgc_c + nadp_c  -> ru5p__D_c + nadph_c + co2_c ,0.146742890893865,0.0716939720667276,0.374935214415609,0.0716939856419156,0.00252038333356448,0.320039305401063,0.170387245540979,0.0321379480386059,0.00372647199793708,9.09049073732568e-31,0.434706196940412,0.00239143591574664,0.0325594078860249,0.210808295926948,0.0556398259143311,0.314631547083357,0.0599439827881856,0.00168675399913938,0.314631756527173,0.259175787403859,0.0284486727873074
GAPD,nad_c + g3p_c + pi_c  <=> 13dpg_c + h_c + nadh_c ,0.14112244474067,1.94777145636756,1.84682792832431,1.94777144651946,1.98098196291987,1.8834561567661,1.93334017652323,1.97664528505432,1.84268573509804,1.97184422484575,1.84440019732136,1.89904472845561,1.52531398761759,1.91669732656378,1.95956642044269,1.88530100980628,1.95643858065849,1.45001042043153,1.88530093835459,1.89907854503959,1.97927534625161
PGK,3pg_c + atp_c  <=> 13dpg_c + adp_c ,0.141122444740669,-1.94777145636755,-1.84682792832431,-1.94777144651946,-1.98098196291987,-1.8834561567661,-1.93334017652323,-1.97664528505432,-1.84268573509804,-1.97184422484575,-1.84440019732136,-1.89904472845561,-1.52531398761759,-1.91669732656378,-1.95956642044269,-1.88530100980628,-1.95643858065849,-1.45001042043153,-1.88530093835458,-1.89907854503957,-1.9792753462516
ENO,2pg_c  <=> pep_c + h2o_c ,0.14027615286282,1.92752997522267,1.82733382763569,1.92752996147771,1.96841311460208,1.87640851863517,1.92629253836907,1.96790411254667,1.82410229041988,1.95237632331014,1.83675835079038,1.88711893963752,1.51338910744866,1.90768568137268,1.94443299260521,1.87828357035739,1.94013446896545,1.4415987915438,1.87828349774166,1.8886975573039,1.97124338400805
PGM,2pg_c  <=> 3pg_c ,0.140276152855902,-1.92752997520493,-1.82733382759601,-1.92752996146697,-1.96841311444428,-1.87640851863517,-1.92629253835561,-1.96790411254398,-1.82410229041473,-1.95237632331014,-1.83675835078931,-1.88711893963291,-1.51338910744635,-1.90768568135996,-1.94443299260199,-1.87828357035739,-1.94013446895813,-1.44159879154207,-1.87828349774081,-1.88869755728331,-1.97124338400479
TPI,dhap_c  <=> g3p_c ,0.137622321877903,0.964194227358149,0.863171348347883,0.964194220667316,0.991519404927697,0.889174204083921,0.939058223872402,0.983973689474089,0.85826568137895,0.988165680066513,0.850600351092734,0.909043044292469,0.569381588670887,0.924252489255241,0.972253949414578,0.890994555654279,0.970107584894196,0.457062542819726,0.890994485148344,0.907501080092209,0.98579201741443
SUCCt1pp,succ_p  <=> succ_c ,0.136179357274521,-0.00613929782988437,-5.8592274922986e-11,-0.00613929896905624,-0.00393919629111767,1.68252311780361e-15,-2.81027850638838e-11,-0.493351489495841,-0.00582422596448448,-0.00610142302963138,-1.78106668438105e-12,-0.00373765414431388,-3.9866488083138e-12,-0.389501480264673,-0.00474295830689851,-1.74793221561773e-15,-0.00510986162220616,-0.00263628343504362,-1.80427116608994e-12,-7.08537761436109e-11,-1.67054606136926e-11
